time_pst,p_co2_in_water_ppm,water_level_m_navd88,temp_deg_c,windspeed_avg_m_s,doy,month,hour,white_noise
2023-08-21T15:00:00Z,346.25623,1.4025434000000003,14.0362,1.403,233,8,15,-0.052566171188902354
2023-08-21T18:00:00Z,362.30667,0.9295634000000002,14.8294,2.724,233,8,18,1.232185523606324
2023-08-21T21:00:00Z,353.19226,0.7720634000000004,13.9088,2.423,233,8,21,0.3810938606292119
2023-08-22T00:00:00Z,628.8461,1.5814534000000005,11.314,1.366,234,8,0,-0.8121505331004286
2023-08-22T03:00:00Z,607.105,2.0197134000000005,12.1608,1.309,234,8,3,-0.362359197437984
2023-08-22T06:00:00Z,622.96045,1.2738634000000002,12.4436,1.089,234,8,6,0.26201579565945227
2023-08-22T09:00:00Z,537.7574,0.4472234000000004,12.9689,0.413,234,8,9,1.7967886268425268
2023-08-22T12:00:00Z,634.5938,0.7614034000000003,12.0189,2.346,234,8,12,-0.35401379326062804
2023-08-22T15:00:00Z,668.8867,1.3162534000000004,11.6855,1.529,234,8,15,-1.9558003738436534
2023-08-22T18:00:00Z,383.62982,1.1805534000000004,14.1722,2.25,234,8,18,0.3459773457037443
2023-08-22T21:00:00Z,267.8964,0.9647934000000004,14.8475,3.069,234,8,21,-0.8258501015807233
2023-08-23T00:00:00Z,597.5221,1.5686234000000003,11.665,0.74,235,8,0,-1.3447875852188391
2023-08-23T03:00:00Z,370.88324,2.0266834000000005,13.065,0.799,235,8,3,-2.485799404522189
2023-08-23T06:00:00Z,549.2247,1.3760834000000002,12.4445,0.174,235,8,6,0.5500875448556553
2023-08-23T09:00:00Z,585.4833,0.3236834000000002,12.7514,0.918,235,8,9,1.6950239947353176
2023-08-23T12:00:00Z,643.60345,0.3878434000000004,12.7566,0.605,235,8,12,0.5501170418319726
2023-08-23T15:00:00Z,670.4075,1.1166734000000005,11.6317,0.638,235,8,15,0.5391231024895918
2023-08-23T18:00:00Z,445.77432,1.3317834000000004,12.7931,2.586,235,8,18,-1.0495578232987324
2023-08-23T21:00:00Z,300.17755,1.2371034,15.1581,2.12,235,8,21,-0.7817998737630153
2023-08-24T00:00:00Z,501.6038,1.6061734000000003,12.2708,0.794,236,8,0,0.0316436643106356
2023-08-24T03:00:00Z,363.1455,2.0000734,12.610900000000001,0.79,236,8,3,0.3319733855767258
2023-08-24T06:00:00Z,526.745,1.5038734000000002,12.5914,0.029,236,8,6,-0.7541215382015531
2023-08-24T09:00:00Z,515.2522,0.3513034000000004,13.0547,0.483,236,8,9,-0.7287910620731521
2023-08-24T12:00:00Z,548.04333,0.01124340000000012,13.1638,0.268,236,8,12,-0.28599780095099864
2023-08-24T15:00:00Z,642.99866,0.7536034000000003,11.6924,0.916,236,8,15,0.7649524674896618
2023-08-24T18:00:00Z,504.43414,1.3764934000000002,12.2501,4.84,236,8,18,2.8327091640236652
2023-08-24T21:00:00Z,425.18774,1.5304534000000003,13.3328,2.373,236,8,21,-0.2551779053469385
2023-08-25T00:00:00Z,386.40018,1.6975034000000002,13.9164,4.183,237,8,0,0.04456987914815867
2023-08-25T03:00:00Z,446.3198,2.0240634,13.4735,0.037,237,8,3,0.330080079945024
2023-08-25T06:00:00Z,419.24033,1.7080734000000002,14.0097,1.235,237,8,6,0.9373688176306589
2023-08-25T09:00:00Z,497.28674,0.5820934000000002,12.9316,0.162,237,8,9,0.3344755197722263
2023-08-25T12:00:00Z,451.3617,-0.22578659999999973,13.5467,0.102,237,8,12,-1.6087111694636957
